政府採購法常見問題Q＆A
一、	共通性部分：

一、採購兼有工程、財物、勞務性質，如何認定其採購歸屬？	採購兼有工程、財物、勞務性質，難以認定其採購歸屬者，依政府採購法第7條第4項規定，按其性質所占預算金額比率最高者歸屬之。
二、得標廠商於決標後稱其標價書寫錯誤， 拒不簽約，押標金會不會被没收？	招標文件載明政府採購法第31條第2項第5款者，不發還其押標金。
三、廠商可否以公司支票繳納押標金或履約保證金？	廠商公司支票非屬政府採購法第30條第2項所稱「金融機構支票」，不得做為押標金或履約保證金。
四、廠商參與投標，以金融機構支票繳納押標金，但未載明受款人，是否有效？	廠商以受款人空白之金融機構支票繳納押標金，以執票之機關為受款人，該票據仍屬有效。
五、廠商報價超過預算金額，是否為有效標？	已公開預算金額之採購案，機關得於招標文件規定：「標價超過預算者為不合格標，不予減價機會」；招標文件無此規定者，如採最低標決標方式，尚有減價程序。
六、某機關辦理採購，經開標減價結果，有一廠商總標價與底價相同，則可否再洽廠商減價?
已在底價以內之情形，不可以再洽廠商減價，除有政府採購法第58條部分標價偏低之情形者外，應即宣布決標。
七、最低標廠商之報價低於底價70%，經機關依政府採購法第58條規定通知該最低標廠商提出說明後，如其說明不合理，廠商表示願繳納差額保證金，可否辦理決標？	廠商提出之說明經機關認為顯不合理或尚非完全合理者，不通知該廠商提出差額保證金，逕不決標予該廠商。廠商表示願繳納差額保證金，機關亦不予接受。
八、廠商報價偏低，經機關通知繳納差額保證金後決標者，其得標後是否仍須依招標文件規定繳納履約保證金？	「差額保證金」係作為廠商報價偏低顯不合理、有影響履約品質之虞，應機關要求作為決標予該廠商之擔保，其性質與廠商得標後所繳納之「履約保證金」有別。廠商以差額保證金作為政府採購法第58條規定之擔保者，仍應依招標文件規定繳納履約保證金。
九、投標廠商於報價單填列之總價，大寫及小寫金額不一致，以何者為準？	依政府採購法施行細則第81條規定，投標文件記載金額之文字與號碼不符時，以文字為準。
十、工程會訂頒之各類採購契約範本之效力如何？	政府採購法第63條第1項規定：「各類採購契約以採用主管機關訂定之範本為原則，其要項及內容由主管機關參考國際及國內慣例定之」。
十一、機關如未於招標文件標示主要部分或應由得標廠商自行履行之部分，如何認定廠商履約過程是否轉包？	政府採購法第65條第2項規定：「前項所稱轉包，指將原契約中應自行履行之全部或其主要部分，由其他廠商代為履行」，故機關仍應視廠商有無將原契約中應自行履行之全部交由其他廠商代為履行。此外，其施行細則第87條規定：「本法第65條第2項所稱主要部分，指下列情形之一：一、招標文件標示為主要部分者。二、招標文件標示或依其他法規規定應由得標廠商自行履行之部分」。
十二、政府採購案件是否應辦理初驗？	政府採購法施行細則第94條：「採購之驗收，無初驗程序者，除契約另有規定者外，機關應於接獲廠商通知備驗或可得驗收之程序完成後30日內辦理驗收，並作成驗收紀錄」，故初驗尚非正式驗收之必經程序。
十三、機關辦理驗收作業藉故拖延、刁難廠商，造成廠商之資金積壓，未驗收即開始使用，機關人員有何責任？	機關人員如拖延驗收程序，致廠商未能依期限及相關規定完成領款程序，機關應依採購人員倫理準則第12條及第13條規定追究相關人員疏失責任，包括依公務員服務法、公務員懲戒法、公務人員考績法之相關規定；另行政院主計處90年2月23日行政院台90會授三字第01583號函訂定「公款支付時限及處理應行注意事項」，其第9點載明工程款項付款期限及審核程序，第11點載明應糾正或懲處情事。
十四、採購評選委員會外聘委員是否一定要從工程會網站之專家學者名單下載遴選？	99年5月12日工程會修正採購評選委員會組織準則第4條規定，機關遴選外聘評選委員之簽報及核定，均不受工程會專家學者建議名單資料庫之限制。
十五、得標廠商於國內員工總人數逾一百人者，應於履約期間僱用身心障礙者及原住民，人數為何?	得標廠商於履約期間應僱用之身心障礙者及原住民之人數，各應達國內員工總人數百分之一，係採分別計算，並均以整數為計算標準，未達整數部分不予計入。
十六、廠商如被訂約機關刊登政府採購公報列為拒絕往來，可否參與其他機關採購案之投標?	除有政府採購法第103條第2項及其施行細則第112條之1規定所列情形外，該廠商於拒絕往來期間內，不得參加全國各機關辦理採購之投標或作為決標對象或分包廠商。
十七、廠商涉有違反政府採購法，經檢察官偵查後，以「緩起訴」論處，應否列為拒絕往來廠商?	應由機關審酌緩起訴處分書所述事實，如有政府採購法第101條第1項各款情形之一，即使緩起訴，仍有該條之適用。
十八、廠商如被機關刊登於政府採購公報列為拒絕往來，則該廠商被拒絕往來前已與機關簽訂之契約是否有效?	該廠商被拒絕往來前已得標或已簽約之案件（包括分包契約）仍得繼續履約。
十九、解散後之公司如有政府採購法第101條規定情形，是否仍需刊登政府採購公報拒絕往來？	依民法第40條第2項規定及公司法第25條、第26條規定，解散後之公司於未完成清算前，並非當然無權利能力，仍須視實際情形向該公司通知刊登拒絕往來廠商；已解散並清算完結之公司，因其法人人格已消滅，無通知刊登拒絕往來廠商之可能。
二、	工程採購部分：
一、政府採購法第22條第1項第6款所稱「必須追加契約以外之工程」之情形，其包含內容為何？又政府採購法施行細則第22條第4項所稱「追加累計金額占原主契約金額之比率」，其意義為何？ 	政府採購法第22條第1項第6款所稱「必須追加契約以外之工程」之情形，除新增項目外，包含原契約項目數量之增加及原契約項目規格之變更；至其施行細則第22條第4項所稱「追加累計金額占原主契約金額之比率」，係指「加帳部分之累計金額占原主契約金額之比率」。
二、工程保險附加責任保險之保險期間最高（累計）保險金額可否為無限制？	查財政部保險司於81年9月23日台保司（二）字第811007242號函釋略以：「產物保險公司承保工程保險附加責任保險，其保險金額不得為無限制」；其次，依據保險法第55條規定，保險契約應記載保險期間及保險金額，爰責任保險之保險期間最高（累計）保險金額若為無限制，與規定不符。
三、工程採購以總價結算方式辦理者，可否於招標文件規定保險費「多要退、少不補」之條款（即契約金額較廠商實際支付金額為多要退，契約金額較廠商實際支付金額為少不補）？	行政院公平交易委員會88年3月17日第384次委員會議認定契約訂有「多要退、少不補」條款者（即契約金額較廠商實際支付金額為多要退，契約金額較廠商實際支付金額為少不補），係屬對交易相對人濫用優勢地位，強制交易相對人接受不公平交易條款之「顯失公平」行為，違反公平交易法第24條規定，故機關應避免於招標文件規定「多要退、少不補」之保險費支付條款。
四、工程契約未載明行政院函頒「公共工程趕工實施要點」內容，履約過程中如有趕工之必要，機關得否依該要點規定趕工並發放趕工費用予廠商？ 	工程契約如未載明「公共工程趕工實施要點」內容，機關仍得依該要點規定辦理趕工並發放趕工費用，惟應先辦理契約變更。
五、機關辦理工程採購，依契約物價指數調整約定，累計給付廠商逾新臺幣10萬元之物價調整款，適用政府採購法第22條第1項何款規定？且是否須刊登決標公告？	依契約給付廠商物價調整款，與政府採購法第22條規定無涉；其所給付物價調整款，機關可利用政府電子採購網中之「物價調整(補貼)款決標公告」功能辦理。
六、機關辦理工程採購，依契約物價指數調整約定辦理工程款調整，於工程結算時，其於工程結算驗收證明書上如何填寫？	如依工程會「工程結算驗收證明書」格式辦理者，其物價調整款得於「增減價款」欄位中，就其實際增加或減少金額分別填入。
七、技術工法尚不明確，或擬議中之技術工法是否有效尚不確定之工程採購，是否適合以統包方式辦理？	各機關對於技術工法尚不明確，或擬議中之技術工法是否有效尚不確定之工程採購，不應採統包方式或以寬鬆規範辦理招標，以避免發生採購爭議及浪費公帑情形；該等特性之工程，宜就規劃設計結果進行可行性評估並確定技術工法及其有效性後，再就細部設計結果辦理施工標之招標。
八、統包工程是否得與監造工作併案發包？	「政府採購法」第24條第2項規定「前項所稱統包，指將工程或財物採購中之設計、施工、供應、安裝或一定期間之維修等併於同一採購契約辦理招標」，並未包括監造。

九、營造業投標廠商之標價在底價以內，但高於營造業法所規定之承攬造價限額時，機關可否決標？	招標文件已載明不決標予此等廠商者，不決標予該廠商；招標文件未載明不決標予此等廠商者，決標予該廠商，並通知營造業法主管機關。該廠商如不接受決標，依政府採購法及招標文件相關規定處理。
十、機關依調解成立、仲裁判斷或訴訟判決給付廠商款項者，應依政府採購法第22條第1項何款次辦理？	機關如係依調解成立書、仲裁判斷書或訴訟判決結果辦理給付該價金者，非屬採購，無政府採購法之適用。
十一、機關辦理工程採購，可否無預算即先決標，或任意挪用預算？	機關辦理工程採購，如發生無預算即先決標，或預算遭挪用致無款項及時支付廠商之情形，依「採購人員倫理準則」第12條及第13條規定懲處相關人員，包括依公務員服務法、公務員懲戒法、公務人員考績法之相關規定。
十二、工程採購決標後，契約單價之調整原則為何？	採購契約單價無論以機關預算或廠商報價為基礎來調整訂定，須以合理性為前提，並保留且善用雙方協議之機制。
十三、機關辦理工程採購，其須辦理契約變更而有新增非屬原契約數量清單內所列之工程項目者，其單價如何訂定？	新增工程項目單價編列方式，應以原預算相關單價分析資料為基礎，並考慮市場價格波動情形；其底價訂定，並應符合政府採購法第46條規定。
十四、採總價結算之工程採購，實際施作數量較契約所定數量為高時，契約價金如何給付？	採購契約要項第32點載明：「工程之個別項目實作數量較契約所定數量增減達百分之五以上者，其逾百分之五之部分，變更設計增減契約價金。未達百分之五者，契約價金得不予增減」，機關得將上開內容納入個案契約據以辦理。
十五、工程採購案免計工期之日，廠商如欲施作，機關應如何處理？	涉及監造或監工者，應先報請機關視採購特性及實際需要，決定是否同意施作。機關如同意施作，應要求監造、監工單位現場監造、監工，以確保工程品質及公共安全。契約如未規定該日數是否計入工期，基於鼓勵廠商加速工程進度之原則，機關得同意免計入工期。另機關宜於契約規定，廠商未經機關同意，於免計工期之日施工之處理方式。
十六、工程採購部分履約項目屬環保產品者，是否適用「機關優先採購環境保護產品辦法」優先採購之規定？	「機關優先採購環境保護產品辦法」不適用於招標標的僅部分屬環保產品者。
十七、「水管、電氣與建築工程合併或分開招標原則」中「水管、電氣」之適用範圍為何？	「水管、電氣與建築工程合併或分開招標原則」所稱「水管、電氣」，僅限於水管工程及電氣工程，即一般工程實務上所慣稱之水電工程，不包括「空調工程」、「電梯工程」、「停車控制工程」及「醫療氣體、設備工程」。

